Produto;Instituição;Emissor;Código;Indexador;Tipo de regime;Data de Emissão;Vencimento;Quantidade;Quantidade Disponível;Quantidade Indisponível;Motivo;Contraparte;Preço Atualizado MTM;Valor Atualizado MTM;Preço Atualizado CURVA;Valor Atualizado CURVA;Preço Atualizado FECHAMENTO;Valor Atualizado FECHAMENTO
CDB - BANCO BTG PACTUAL S.A.;BANCO BTG PACTUAL S.A.;BANCO BTG PACTUAL S.A.;CDB2261M8JC;IPCA;DEPOSITADO;03/02/2026;03/02/2027;2;2;-;-;-; - ; - ; R$506,6729725 ; R$1.013,34 ; - ; - 
CDB - BANCO C6 CONSIGNADO S.A;NU INVEST CORRETORA DE VALORES S.A.;BANCO C6 CONSIGNADO S.A;CDB424465J0;PREFIXADO;DEPOSITADO;05/04/2024;05/04/2029;8000;8000;-;-;-; - ; - ; R$1,26660518 ; R$10.132,84 ; - ; - 
